run_id,project,model_family,framework,git_commit,branch,data_version,seed,start_time,end_time,status,failure_reason,train_metric_primary,val_metric_primary,test_metric_primary,metric_name,train_loss_final,epochs,max_lr,batch_size,num_params_millions,hardware_type,gpu_type,cpu_hours,gpu_hours,cloud_provider,triggered_by,registry_model_name,registry_version
9669a7d7-b3c3-4be0-8783-baeef9400174,fraud_detection,xgboost,tensorflow,321b890,main,fraud_v2,123,2024-07-03T10:54:44.365628,2024-07-03T11:39:21.154181,success,,0.8786424838868658,0.8658520709648645,0.8810098002369624,roc_auc,0.1097,60,0.02138,512,1.836,cpu,,1.556,0.0,gcp,ci_pipeline,fraud_detection_model,9
fc8b6454-d389-497d-baf9-bd7912f09d6c,fraud_detection,lightgbm,lightgbm,52f511d,bugfix/data_issue,fraud_v3,42,2024-09-23T08:27:01.625176,2024-09-23T08:51:11.514752,failed,early_stopped,,,,roc_auc,,40,0.00091,2048,0.982,cpu,,1.882,0.0,on_prem,scheduled_job,fraud_detection_model,19
cd1b8811-ec97-48b2-8b55-ce3884e26891,recsys_clickthrough,xgboost,sklearn,acfdd67,experiment/hyperparam,recsys_v2,456,2024-05-09T16:10:16.802375,2024-05-09T16:22:02.646102,failed,nan_loss,,,,roc_auc,,34,0.01071,2048,0.505,single_gpu,A100,0.368,0.186,aws,scheduled_job,recsys_clickthrough_model,13
b926e825-c2f7-4c38-8df0-0b6e371bc66d,energy_forecasting,tabnet,pytorch,adc3054,develop,energy_5,2024,2024-04-24T20:34:41.648861,2024-04-24T20:58:19.605382,failed,nan_loss,,,,rmse,,20,0.00082,512,7.959,multi_gpu,V100,1.26,2.003,on_prem,ci_pipeline,energy_forecasting_model,18
ca8f2edd-0048-4a84-9be8-16ed1d1839e7,energy_forecasting,tabnet,lightgbm,e63f810,main,energy_2,2024,2024-02-28T09:26:32.406319,2024-02-28T09:50:25.677898,success,,0.23110280346898426,0.2355461294854933,0.25090576179931506,rmse,0.0474,79,0.00164,512,2.12,multi_gpu,A100,0.952,3.063,aws,scheduled_job,energy_forecasting_model,17
dfad3513-7f89-49a8-b9fe-a554a8e522d3,energy_forecasting,tabnet,sklearn,a1ecc54,develop,energy_4,42,2024-12-14T03:25:39.090305,2024-12-14T05:06:16.386090,failed,early_stopped,,,,rmse,,67,0.00018,512,5.204,single_gpu,A100,1.85,1.952,gcp,user,energy_forecasting_model,5
43c0f077-66e1-4979-bcd6-7eeaa26ddfd6,energy_forecasting,lightgbm,xgboost,fee9715,experiment/hyperparam,energy_2,42,2024-03-28T22:02:06.539416,2024-03-28T22:56:21.291898,success,,0.17520859105534103,0.1689578175014489,0.16703685865791593,rmse,0.0206,71,0.0019,512,1.608,cpu,,4.364,0.0,aws,user,energy_forecasting_model,5
b42c2554-075c-4dba-8090-4017bf6c0fec,rag_qa_service,tabnet,pytorch,4d638b3,experiment/hyperparam,rag_corpus_4,2024,2024-08-25T04:55:54.425718,2024-08-25T05:08:42.869982,failed,oom,,,,f1,,31,0.00035,256,8.373,multi_gpu,A100,0.884,0.787,on_prem,scheduled_job,rag_qa_service_model,1
755a94ab-3989-473c-8cdf-5332a881ad78,recsys_clickthrough,tabnet,pytorch,0b01058,experiment/hyperparam,recsys_v4,123,2024-07-15T19:41:21.260465,2024-07-15T19:58:09.552556,success,,0.8411983832522512,0.8253771553051208,0.8431321244969879,roc_auc,0.1767,15,0.00402,256,1.208,multi_gpu,T4,2.219,1.858,on_prem,user,recsys_clickthrough_model,14
791f9f29-7aac-4e75-822a-40a81b940f5c,energy_forecasting,transformer,lightgbm,7baf165,main,energy_2,123,2024-03-10T10:13:48.136589,2024-03-10T11:05:53.616871,failed,nan_loss,,,,rmse,,62,1.4e-05,32,120.37,multi_gpu,T4,2.34,6.232,on_prem,user,energy_forecasting_model,15
