timestamp,project,environment,registry_model_name,registry_version,deployment_id,requests,successful_requests,error_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,cpu_utilization_mean,memory_utilization_mean,gpu_utilization_mean,drift_score,data_freshness_minutes,sla_violation,incident_id
2024-01-02T03:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,5501,5414,87,56.06,124.097,186.323,5.0,5.0,35.61,0.105,3.0,False,
2024-01-02T04:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,8950,8950,0,83.699,178.584,284.185,11.12,41.25,18.28,0.101,15.37,False,
2024-01-02T05:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,8447,8432,15,91.163,156.673,317.703,33.31,30.12,25.13,0.117,8.72,False,
2024-01-02T06:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,15461,15343,118,194.581,475.288,561.294,19.8,61.82,53.68,0.097,10.99,True,INC-e09bddc2
2024-01-02T07:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,10103,10004,99,113.952,261.473,357.528,9.81,26.79,1.0,0.086,4.27,True,
2024-01-02T08:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,23347,23301,46,226.271,461.514,765.591,72.98,73.32,84.29,0.083,4.02,True,INC-986b5265
2024-01-02T09:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,17213,16895,318,173.243,369.045,486.459,59.84,60.95,38.35,0.084,1.96,True,
2024-01-02T10:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,11894,11771,123,142.622,356.257,418.929,5.0,14.19,41.3,0.123,13.87,True,
2024-01-02T11:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,15716,15557,159,163.2,384.542,546.953,43.92,47.64,66.48,0.088,10.12,True,
2024-01-02T12:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,14519,14436,83,166.775,385.793,478.668,32.38,23.71,31.94,0.069,17.61,True,
2024-01-02T13:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,14255,14201,54,142.826,325.066,363.405,56.68,22.03,1.0,0.083,12.57,True,
2024-01-02T14:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,11579,11555,24,140.257,270.003,341.479,36.12,38.11,47.77,0.097,3.96,True,
2024-01-02T15:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,14104,14081,23,165.418,392.431,442.847,26.45,13.29,50.6,0.068,19.52,True,
2024-01-02T16:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,9871,9785,86,116.31,210.668,358.246,30.06,41.67,8.98,0.075,5.93,False,
2024-01-02T17:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,15134,15057,77,161.958,394.926,531.874,60.83,24.72,67.33,0.048,5.5,True,
2024-01-02T18:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,17638,17476,162,180.775,428.719,607.968,47.14,48.53,15.05,0.034,10.72,True,INC-b11e279d
2024-01-02T19:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,18289,18047,242,190.502,424.917,533.917,36.81,36.82,25.94,0.032,9.33,True,INC-b11e279d
2024-01-02T19:00:00,fraud_detection,staging,fraud_detection_model,9,5b0dd5cd-8b8c-447d-8acd-091060a12735,580,573,7,218.572,377.14,576.009,51.98,49.74,22.24,0.325,5.34,True,
2024-01-02T20:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,19390,19222,168,183.282,379.917,467.355,45.3,61.63,77.7,0.078,10.4,True,
2024-01-02T20:00:00,fraud_detection,staging,fraud_detection_model,9,5b0dd5cd-8b8c-447d-8acd-091060a12735,553,544,9,186.155,380.47,651.103,37.37,51.11,48.8,0.312,20.54,True,
2024-01-02T21:00:00,fraud_detection,staging,fraud_detection_model,9,5b0dd5cd-8b8c-447d-8acd-091060a12735,652,646,6,207.74,377.585,550.514,51.58,43.55,64.73,0.347,5.69,True,
2024-01-02T21:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,21893,21893,0,222.646,514.517,536.384,60.15,70.17,47.57,0.089,8.55,True,INC-a0e2122f
2024-01-02T22:00:00,fraud_detection,staging,fraud_detection_model,9,5b0dd5cd-8b8c-447d-8acd-091060a12735,703,688,15,254.225,559.99,767.911,55.12,58.51,69.98,0.372,10.72,True,INC-26234363
2024-01-02T22:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,18284,18159,125,179.863,411.614,569.921,62.54,76.19,26.38,0.105,7.46,True,INC-a0e2122f
2024-01-02T23:00:00,fraud_detection,staging,fraud_detection_model,9,5b0dd5cd-8b8c-447d-8acd-091060a12735,397,389,8,168.568,348.148,418.329,32.47,27.64,15.39,0.375,13.58,False,
2024-01-02T23:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,11218,11218,0,131.317,250.848,333.022,40.25,24.73,46.14,0.074,5.02,True,
2024-01-03T00:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,2774,2749,25,10.0,11.0,12.0,5.37,25.97,1.0,0.08,5.12,False,
2024-01-03T00:00:00,fraud_detection,staging,fraud_detection_model,9,5b0dd5cd-8b8c-447d-8acd-091060a12735,282,276,6,108.457,209.451,322.435,26.27,14.46,35.26,0.325,10.21,False,
2024-01-03T01:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,5256,5256,0,76.093,178.459,265.729,12.11,11.18,11.74,0.091,6.79,False,
2024-01-03T02:00:00,energy_forecasting,prod,energy_forecasting_model,5,7f1f63c1-8fd3-480f-a593-c9f010f18514,8093,8093,0,101.565,242.513,311.625,32.61,8.13,47.26,0.102,10.24,False,
