deploy_id,project,environment,deployed_at,rolled_back_at,run_id,registry_model_name,registry_version,ci_pipeline_id,strategy,traffic_shift_percent,status,failure_stage,failure_reason,initiated_by,kubernetes_namespace,image_tag
1a4b6e4a-9b5e-4457-9f1b-a6623d3f97c1,fraud_detection,staging,2024-09-25T12:36:48.875288,,c10458f7-8c0d-4079-ab32-587588389957,fraud_detection_model,2,ci-739b0fc,rolling,100,success,,,auto_retrain,ml-staging,fraud-detection-service:2.0.12
a512fc7d-d501-48b0-948d-f3a77dc5ffaf,rag_qa_service,dev,2024-04-07T06:23:49.197020,,07726319-78a3-4e6e-b69b-ee33a7fb5aa2,rag_qa_service_model,20,ci-7b52b3c,rolling,100,success,,,security_patch,ml-dev,rag-qa-service-service:20.9.0
52bd4f11-797c-4cba-9840-b0b7701ad978,energy_forecasting,dev,2024-03-18T18:01:21.536274,,0067edd7-fbb9-4490-8524-52bc928102fa,energy_forecasting_model,16,ci-e6e373f,rolling,100,success,,,user,ml-dev,energy-forecasting-service:16.2.17
9de70f18-b9d1-4c60-ae8b-3313f99837bf,fraud_detection,prod,2024-04-23T11:55:44.502054,,4e9f8422-a5b3-452b-a883-32c0e507c15d,fraud_detection_model,6,ci-87edd72,rolling,100,success,,,auto_retrain,ml-prod,fraud-detection-service:6.9.6
4a4f3706-534f-40f8-95c4-67812da7185a,rag_qa_service,dev,2024-09-10T05:12:35.580786,,bf519b3e-9d90-48b6-a331-f6a0f8b698a4,rag_qa_service_model,17,ci-be0b4a4,blue_green,100,success,,,user,ml-dev,rag-qa-service-service:17.3.14
2bb25668-47d1-4e38-94a8-81dabc7851b6,recsys_clickthrough,dev,2024-10-18T04:29:26.983842,,23f65b09-6111-44ee-802d-2cdf3ee3479f,recsys_clickthrough_model,6,ci-a8c346c,rolling,100,success,,,user,ml-dev,recsys-clickthrough-service:6.2.11
65c8cd2c-faf0-45ff-98e8-d14ca177f6c6,recsys_clickthrough,staging,2024-12-26T02:22:59.778546,,4ef442be-f9f2-4698-afe5-8b3680fae707,recsys_clickthrough_model,6,ci-79ca5ea,rolling,100,success,,,auto_retrain,ml-staging,recsys-clickthrough-service:6.6.18
eaffc734-2816-40d8-99fb-6719670fa1dd,rag_qa_service,staging,2024-10-19T01:15:27.804629,,b99ce1e8-1c29-47d9-b031-88822716f25e,rag_qa_service_model,16,ci-4bb17bc,blue_green,100,failed,post_deploy_checks,timeout,auto_retrain,ml-staging,rag-qa-service-service:16.9.5
d9da9211-e27d-4bc7-a736-437a63e19bb3,energy_forecasting,staging,2024-11-09T15:43:40.654395,,a97d64fe-5858-40de-964c-9ab9ab3cd2e0,energy_forecasting_model,9,ci-3ff6894,blue_green,100,success,,,user,ml-staging,energy-forecasting-service:9.8.17
a9d05ecd-f728-4fb1-8e35-62d9962b4bd9,fraud_detection,dev,2024-05-23T07:18:31.329110,,6ba9010c-fb7e-4197-840a-37f98e932037,fraud_detection_model,9,ci-9ea833b,rolling,100,success,,,user,ml-dev,fraud-detection-service:9.3.5
